CADC,China Advanced Construction Materials Group,NASDAQ
3.60,3.24,3.60,3.24
3.24,3.75,3.78,3.24
3.72,3.60,3.94,3.60
3.60,3.86,3.94,3.60
3.60,3.72,3.85,3.60
3.60,3.60,3.83,3.60
3.60,3.82,3.82,3.60
3.60,3.48,3.60,3.48
3.60,3.48,3.60,3.48
3.48,3.36,3.60,3.24
3.36,3.36,3.60,3.36
3.36,3.60,3.60,3.36
3.37,3.51,3.60,3.36
3.60,3.60,3.60,3.60
3.60,3.60,3.84,3.36
3.60,3.60,3.60,3.42
3.60,3.36,3.60,3.36
3.36,3.38,3.71,3.36
3.60,3.60,3.72,3.60
3.78,3.73,3.78,3.36
3.60,3.60,3.72,3.36
3.61,3.60,3.78,3.60
3.60,3.42,3.78,3.42
3.37,3.36,3.54,3.36
3.36,3.60,3.60,3.36
3.50,3.72,3.72,3.50
3.48,3.36,3.65,3.36
3.58,3.37,3.84,3.36
3.37,3.36,3.72,3.36
4.08,3.94,4.08,3.60
3.94,3.72,3.94,3.49
3.49,3.94,3.94,3.49
3.60,3.72,4.08,3.60
3.60,3.72,3.84,3.49
3.95,3.96,4.08,3.60
3.73,3.96,3.96,3.73
3.60,3.96,4.08,3.49
4.08,3.74,4.08,3.61
