GST,Gastar Exploration Inc Common Stock,NASDAQ
2.39,2.55,2.55,2.39
2.58,2.70,2.75,2.55
2.74,2.78,2.84,2.69
2.77,2.75,2.79,2.58
2.81,2.83,2.88,2.73
2.82,2.80,2.82,2.71
2.80,2.57,2.80,2.56
2.57,2.73,2.80,2.56
2.77,2.68,2.84,2.61
2.69,2.71,2.75,2.60
2.73,2.98,2.99,2.73
3.02,2.85,3.26,2.80
2.88,2.83,2.91,2.76
2.80,3.07,3.08,2.80
2.99,3.04,3.14,2.99
3.10,2.99,3.13,2.95
3.00,2.88,3.00,2.83
2.90,2.84,2.98,2.81
2.90,2.87,3.07,2.86
2.91,2.95,3.05,2.91
2.97,2.95,3.03,2.87
2.97,2.89,3.04,2.83
2.84,2.90,2.91,2.75
2.87,2.83,3.03,2.77
2.92,2.80,2.93,2.77
2.82,2.65,2.82,2.65
2.64,2.52,2.71,2.49
2.50,2.48,2.62,2.48
2.50,2.47,2.54,2.40
2.50,2.35,2.50,2.35
2.38,2.20,2.40,2.17
